path	views	reached_90pct	read_through_pct
/	10188	2699	26
/registration/	4639	2050	44
/schedules/	4413	980	22
/parents/	1654	533	32
/coaches/	1327	280	21
/adult/	1162	638	55
/2025/07/02/registration-open.html	843	285	34
/coachreg/	817	201	25
/rules/	787	201	26
/contact/	763	477	63
/news/	675	244	36
/faq/	542	238	44
/schedules/2022/2022-U13-girls.html	438	107	24
/2026/07/02/fall-signups-open.html	433	109	25
/2025/07/31/season-start.html	419	221	53
/schedules/2022/2022-U8-boys.html	419	77	18
/schedules/2022/2022-U10-boys.html	416	73	18
/2023/05/17/registration-open.html	402	93	23
/refs/	391	73	19
/schedules/2022/2022-U10-girls.html	377	112	30
/schedules/2022/2022-U16-coed.html	366	159	43
/schedules/2023/2023-U8-boys.html	347	102	29
/schedules/2022/2022-U8-girls.html	316	68	22
/schedules/2022/2022-U13-boys.html	287	94	33
/about/	282	183	65
/2023/06/29/season-kickoff-party.html	276	108	39
/2024/07/24/season-start.html	270	85	31
/schedules/2024/2024-U10-girls.html	263	147	56
/schedules/2023/2023-U12-boys.html	237	73	31
/schedules/2024/2024-U12-girls.html	233	151	65
/schedules/2024/2024-U12-boys.html	228	155	68
/schedules/2024/2024-U6-coed.html	222	117	53
/schedules/2023/2023-U10-boys.html	219	60	27
/schedules/2023/2023-U12-girls.html	209	62	30
/2023/10/14/picture-day.html	208	53	25
/schedules/2024/2024-U8-boys.html	206	138	67
/schedules/2023/2023-U8-girls.html	204	61	30
/schedules/2024/2024-U10-boys.html	201	114	57
/schedules/2024/2024-U8-girls.html	176	77	44
/2024/09/19/season-schedules-posted.html	174	97	56
/schedules/2022/2022-U5-coed.html	171	67	39
/schedules/2024/2024-U5-coed.html	166	94	57
/2026/04/28/2026-league-ages.html	164	47	29
/schedules/2025/U12-boys.html	157	103	66
/schedules/2025/U15-coed.html	153	108	71
/schedules/2024/2024-09-14.html	140	87	62
/schedules/2023/2023-U6-coed.html	139	77	55
/resources/	131	61	47
/schedules/2023/2023-U10-girls.html	129	46	36
/schedules/2024/2024-U15-coed.html	124	80	65
/2025/07/25/refs.html	116	23	20
/schedules/2025/U8-boys.html	116	77	66
/2025/02/10/spring-soccer.html	114	37	32
/schedules/2023/2023-U16-coed.html	114	73	64
/schedules/2022/2022-U6-coed.html	104	56	54
/schedules/2025/U10-boys.html	103	70	68
/2023/08/12/signups-still-open.html	102	35	34
/schedules/2025/U5-coed.html	98	50	51
/2022/10/15/picture-day.html	96	20	21
/schedules/2025/U10-girls.html	96	56	58
/2026/06/19/registration-open.html	90	24	27
/pictures/	90	49	54
/2025/12/02/adult-soccer-signups.html	84	37	44
/2022/09/20/season-schedules-posted.html	82	44	54
/schedules/2025/U6-coed.html	82	50	61
/tags/	81	45	56
/schedules/2025/U12-girls.html	79	54	68
/schedules/2024/game-days.html	77	46	60
/schedules/2022/2022-09-17.html	67	21	31
/2022/09/15/starting-day-schedule.html	64	23	36
/schedules/2025/U8-girls.html	62	46	74
/2026/07/09/refs.html	61	8	13
/2024/09/12/starting-day-schedule.html	59	5	8
/refs/training/	57	14	25
/2023/09/01/season-start.html	56	31	55
/2022/09/03/starting-soon.html	50	6	12
/updates/	40	8	20
/2022/07/01/season-signups.html	36	4	11
/2022/08/18/refs.html	32	8	25
/2022/09/08/practices-open.html	25	10	40
/schedules/2023/2023-U5-coed.html	24	15	62
/2024/04/24/refs.html	22	3	14
/2022/09/01/season-start.html	20	12	60
/2022/09/21/birth-certificates.html	20	2	10
/2026/08/01/clovis-ref-course.html	20	1	5
/2024/	19	11	58
/02	17	0	0
/2022/08/21/last-call.html	17	6	35
/29	16	0	0
/2025/	10	5	50
/2022/11/02/picture-makeups.md.html	9	3	33
/adult/2026/	8	1	12
/schedules	7	1	14
/schedules/2024/MAYSL-2024-U5-clinic.pdf	7	6	86
/schedules/2023/2023-U12-boys.%E2%80%A6%E2%80%9D	6	5	83
/04	3	1	33
/1	3	0	0
/28	3	0	0
/adult/}	3	1	33
/01	2	0	0
/05	2	0	0
/06	2	0	0
/07	2	0	0
/08	2	0	0
/09	2	0	0
/10	2	0	0
/12	2	0	0
/14	2	0	0
/15	2	0	0
/17	2	0	0
/18	2	0	0
/19	2	0	0
/2	2	0	0
/2026/	2	0	0
/2026/07/02/fall-signups-open.…	2	2	100
/24	2	0	0
/25	2	0	0
/3	2	0	0
/31	2	0	0
/6	2	0	0
/7	2	0	0
/8	2	0	0
/9	2	0	0
/donate/	2	0	0
/files/maysl-logo-hires.png	2	2	100
/ref-training	2	2	100
/scheduels/2022/2022-U8-girls.html	2	0	0
/schedules/2023/2023-U13-girls.html	2	0	0
/schedules/2024/MAYSL-2024-U12	2	0	0
/staff	2	2	100
/volunteer	2	2	100
/about-us	1	2	200
/board	1	2	200
/board-of-directors	1	2	200
/contact-us	1	2	200
/contactus	1	2	200
/leadership	1	2	200
/officers	1	2	200
/sponsors	1	2	200
/sponsorship	1	2	200
/03	1	0	0
/11	1	1	100
/2023/	1	1	100
/2023/08/12/	1	1	100
/2025/02/10/Spring-soccer.html	1	1	100
/21	1	0	0
/4	1	0	0
/5	1	0	0
/COACHES/	1	1	100
/a/adult	1	1	100
/about/There	1	1	100
/adult.	1	1	100
/coacheds	1	1	100
/coacheeg	1	0	0
/coachrega	1	1	100
/coachreq/	1	1	100
/coachreqs	1	1	100
/fields	1	1	100
/files/calnorth-livescan-s0ss.pdf	1	1	100
/give/	1	0	0
/info	1	1	100
/league-age	1	1	100
/register/	1	1	100
/register/ Open	1	0	0
/schedules/2023/2023-U12-boys	1	1	100
/schedules/2024/	1	1	100
/schedules/2024/MAYSL-2023-U6-clinic.pdf	1	0	0
/schedules/2024/MAYSL-2024-U12-…”	1	0	0
/schedules/2024/MAYSL-2024-U6-c	1	0	0
/schedules/u6	1	1	100
/schedules/u8	1	1	100
/soccer	1	0	0
/volunteers	1	1	100
/volunteers/	1	1	100
