month	path	views
202608	/registration/	1121
202409	/schedules/	952
202508	/registration/	923
202508	/	898
202607	/registration/	886
202209	/schedules/	821
202409	/	749
202608	/	710
202308	/	684
202408	/	655
202509	/	587
202309	/	544
202607	/	509
202601	/adult/	482
202408	/registration/	466
202509	/schedules/	448
202508	/2025/07/02/registration-open.html	419
202309	/schedules/	378
202512	/	343
202602	/adult/	336
202209	/	320
202210	/schedules/	305
202602	/	299
202507	/registration/	275
202601	/	274
202606	/	274
202607	/2026/07/02/fall-signups-open.html	273
202509	/registration/	270
202511	/	266
202512	/adult/	264
202507	/	249
202307	/2023/05/17/registration-open.html	240
202510	/	235
202603	/	226
202508	/2025/07/31/season-start.html	224
202307	/	223
202309	/coaches/	206
202407	/	201
202605	/	199
202409	/schedules/2024/2024-U10-girls.html	194
202604	/	191
202310	/2023/10/14/picture-day.html	186
202308	/coaches/	184
202409	/registration/	183
202408	/parents/	176
202510	/schedules/	173
202607	/refs/	170
202209	/schedules/2022/2022-U13-girls.html	168
202209	/schedules/2022/2022-U16-coed.html	168
202308	/schedules/	167
202209	/schedules/2022/2022-U10-boys.html	165
202410	/schedules/	165
202608	/2026/07/02/fall-signups-open.html	163
202410	/	162
202507	/2025/07/02/registration-open.html	157
202209	/schedules/2022/2022-U8-boys.html	155
202409	/schedules/2024/2024-U12-boys.html	153
202210	/	152
202607	/coachreg/	152
202210	/schedules/2022/2022-U10-boys.html	147
202209	/coaches/	145
202409	/schedules/2024/2024-U6-coed.html	145
202409	/schedules/2024/2024-U12-girls.html	144
202608	/coachreg/	143
202209	/schedules/2022/2022-U8-girls.html	142
202606	/registration/	142
202210	/schedules/2022/2022-U16-coed.html	139
202210	/schedules/2022/2022-U8-boys.html	138
202308	/2023/06/29/season-kickoff-party.html	136
202209	/schedules/2022/2022-U10-girls.html	135
202209	/schedules/2022/2022-U13-boys.html	135
202210	/schedules/2022/2022-U10-girls.html	133
202309	/schedules/2023/2023-U12-boys.html	131
202409	/schedules/2024/2024-U10-boys.html	131
202210	/schedules/2022/2022-U13-girls.html	130
202309	/schedules/2023/2023-U8-boys.html	128
202508	/coachreg/	128
202509	/coaches/	126
202408	/2024/07/24/season-start.html	125
202209	/parents/	123
202409	/schedules/2024/2024-09-14.html	120
202509	/2025/07/02/registration-open.html	118
202508	/parents/	116
202409	/parents/	114
202409	/schedules/2024/2024-U8-boys.html	114
202310	/	113
202509	/2025/07/31/season-start.html	113
202608	/contact/	113
202411	/	112
202211	/schedules/	108
202409	/rules/	106
202511	/schedules/	105
202608	/parents/	104
202307	/2023/06/29/season-kickoff-party.html	102
202409	/schedules/2024/2024-U8-girls.html	99
202509	/coachreg/	98
202607	/parents/	98
202210	/schedules/2022/2022-U8-girls.html	94
202211	/schedules/2022/2022-U13-girls.html	94
202408	/schedules/	93
202608	/parents/	92
202308	/2023/05/17/registration-open.html	91
202606	/coachreg/	89
202409	/coaches/	88
202607	/2026/04/28/2026-league-ages.html	88
202308	/parents/	84
202406	/	84
202409	/schedules/2024/2024-U5-coed.html	84
202309	/schedules/2023/2023-U10-boys.html	82
202310	/schedules/2023/2023-U8-boys.html	82
202310	/schedules/	80
202509	/parents/	80
202509	/schedules/2025/U15-coed.html	80
202509	/contact/	79
202210	/2022/10/15/picture-day.html	78
202209	/schedules/2022/2022-U5-coed.html	77
202211	/schedules/2022/2022-U8-boys.html	77
202310	/schedules/2023/2023-U8-girls.html	77
202509	/rules/	76
202310	/schedules/2023/2023-U12-girls.html	75
202409	/2024/07/24/season-start.html	74
202211	/	71
202308	/2023/08/12/signups-still-open.html	68
202608	/coaches/	67
202409	/schedules/2024/2024-U15-coed.html	66
202509	/schedules/2025/U12-boys.html	66
202311	/	65
202409	/coachreg/	65
202307	/schedules/	64
202403	/	64
202411	/schedules/	64
202409	/2024/09/19/season-schedules-posted.html	62
202409	/contact/	62
202509	/schedules/2025/U5-coed.html	62
202408	/coaches/	61
202210	/schedules/2022/2022-U13-boys.html	60
202211	/schedules/2022/2022-U10-girls.html	60
202211	/schedules/2022/2022-U10-boys.html	59
202309	/parents/	59
202309	/schedules/2023/2023-U12-girls.html	59
202405	/	59
202509	/faq/	59
202509	/schedules/2025/U8-boys.html	59
202209	/schedules/2022/2022-U6-coed.html	58
202505	/	58
202506	/	58
202508	/coaches/	58
202209	/rules/	57
202309	/rules/	56
202508	/contact/	55
202508	/parents/	54
202305	/	53
202309	/news/	53
202309	/schedules/2023/2023-U16-coed.html	53
202409	/schedules/2024/game-days.html	53
202509	/schedules/2025/U10-boys.html	53
202510	/schedules/2025/U15-coed.html	52
202309	/schedules/2023/2023-U8-girls.html	51
202311	/schedules/2023/2023-U8-boys.html	51
202209	/2022/09/15/starting-day-schedule.html	50
202510	/schedules/2025/U12-boys.html	50
202410	/schedules/2024/2024-U12-girls.html	49
202508	/faq/	49
202509	/schedules/2025/U6-coed.html	49
202608	/faq/	49
202306	/	48
202502	/	48
202606	/2026/06/19/registration-open.html	48
202310	/schedules/2023/2023-U10-boys.html	47
202407	/registration/	47
202508	/2025/07/25/refs.html	47
202408	/faq/	46
202503	/	46
202512	/faq/	46
202607	/2026/07/09/refs.html	46
202410	/2024/09/19/season-schedules-posted.html	45
202509	/schedules/2025/U10-girls.html	45
202309	/schedules/2023/2023-U6-coed.html	44
202404	/	44
202607	/contact/	44
202211	/schedules/2022/2022-U8-girls.html	43
202212	/	43
202301	/	43
202311	/schedules/	43
202308	/news/	42
202309	/schedules/2023/2023-U10-girls.html	42
202509	/news/	42
202603	/adult/	42
202606	/2026/04/28/2026-league-ages.html	42
202608	/refs/	42
202409	/faq/	41
202410	/schedules/2024/2024-U8-boys.html	41
202512	/resources/	41
202210	/rules/	40
202607	/news/	40
202209	/updates/	38
202408	/contact/	38
202512	/rules/	38
202607	/parents/	38
202310	/schedules/2023/2023-U10-girls.html	37
202502	/registration/	37
202504	/	37
202512	/news/	37
202603	/news/	37
202503	/2025/02/10/spring-soccer.html	36
202509	/schedules/2025/U12-girls.html	36
202509	/schedules/2025/U8-girls.html	36
202512	/parents/	36
202308	/contact/	35
202311	/schedules/2023/2023-U10-boys.html	34
202409	/schedules/	34
202511	/coaches/	34
202608	/2026/04/28/2026-league-ages.html	34
202608	/news/	34
202211	/schedules/2022/2022-U13-boys.html	33
202401	/	33
202410	/schedules/2024/2024-U12-boys.html	33
202412	/	33
202508	/news/	33
202510	/coaches/	33
202510	/news/	33
202210	/coaches/	32
202509	/parents/	32
202512	/contact/	32
202209	/schedules/2022/2022-09-17.html	31
202511	/rules/	31
202608	/rules/	31
202409	/news/	30
202508	/rules/	30
202510	/schedules/2025/U12-girls.html	30
202602	/2025/07/02/registration-open.html	30
202209	/refs/	29
202304	/	29
202309	/2023/09/01/season-start.html	29
202410	/schedules/2024/2024-U10-girls.html	29
202501	/	29
202209	/2022/09/20/season-schedules-posted.html	28
202308	/rules/	28
202310	/schedules/2023/2023-U12-boys.html	28
202311	/schedules/2023/2023-U8-girls.html	28
