query	clicks	impressions	ctr_pct	avg_position
maysl	188	1196	15.7	2.7
mountain area youth soccer	111	136	81.6	1.1
mountain area youth soccer league	86	98	87.8	1.0
mountain soccer	13	121	10.7	9.9
youth soccer leagues near me	13	14	92.9	3.0
youth soccer near me	10	14	71.4	2.9
mountain soccer club	4	46	8.7	17.3
mountain top youth soccer	4	6	66.7	10.7
oakhurst soccer	4	55	7.3	6.7
mountain soccer league	3	7	42.9	3.7
mysl soccer	3	50	6.0	20.9
mountain league soccer	2	8	25.0	4.0
soccer leagues for kids near me	2	6	33.3	2.0
find their website	1	1	100.0	1.0
little soccer league	1	3	33.3	63.3
mysl soccer schedule	1	31	3.2	23.3
soccer leage	1	1	100.0	4.0
soccer leagues	1	2	50.0	7.5
soccer leagues near me	1	3	33.3	5.0
soccer near me	1	2	50.0	1.5
soccer near me for kids	1	1	100.0	1.0
soccer sign ups near me	1	2	50.0	6.5
soccer sign ups near me for kids	1	2	50.0	1.0
travel soccer near me	1	1	100.0	1.0
under 6 soccer near me	1	1	100.0	1.0
youth soccer teams near me	1	2	50.0	1.5
youth soccor near me	1	1	100.0	2.0
"in pool play, teams can play shortened games of" "minute halves" uil soccer	0	4	0.0	11.8
12u soccer field dimensions	0	1	0.0	2.0
1x2 | full time 1	0	1	0.0	1.0
40u football	0	1	0.0	1.0
6 u	0	2	0.0	1.0
6 yard line soccer	0	2	0.0	2.0
7v7 soccer	0	1	0.0	1.0
9v9 game length	0	13	0.0	12.7
9v9 offside rule	0	1	0.0	75.0
9v9 soccer game length	0	3	0.0	12.3
9v9 soccer half length	0	2	0.0	6.5
a for adley	0	1	0.0	4.0
a for adley .com	0	1	0.0	2.0
a for adley birthday	0	1	0.0	3.0
a for adley fun videos on youtube	0	1	0.0	9.0
a for adley house location pirate island	0	1	0.0	4.0
a for adley.com	0	1	0.0	5.0
a. for. adley	0	1	0.0	3.0
adley	0	1	0.0	6.0
adley age 2026	0	1	0.0	1.0
adley mcbride	0	1	0.0	3.0
adley's birthday	0	1	0.0	2.0
adult rec soccer leagues near me	0	1	0.0	6.0
adult soccer leagues near me	0	2	0.0	2.0
almaden valley soccer	0	2	0.0	65.0
alum rock youth soccer league	0	14	0.0	66.6
anaheim hills soccer	0	1	0.0	85.0
anaheim youth soccer	0	1	0.0	63.0
anaheim youth soccer league	0	4	0.0	88.2
apple valley soccer league	0	2	0.0	55.0
apple valley youth soccer	0	2	0.0	48.5
are rolling substitutions allowed in mini-soccer?	0	1	0.0	47.0
are there offsides in u11 football	0	1	0.0	1.0
are there soccer games on today	0	1	0.0	6.0
area youth	0	1	0.0	10.0
bakersfield soccer league youth	0	1	0.0	44.0
barbers hill youth soccer club	0	1	0.0	60.0
barstow youth soccer	0	8	0.0	66.8
best soccer coach near me?	0	1	0.0	8.0
bhysl soccer	0	1	0.0	43.0
bmysl	0	3	0.0	40.0
born in 2016	0	1	0.0	2.0
brewster park apple valley	0	1	0.0	63.0
build out line	0	4	0.0	67.2
build up line	0	1	0.0	75.0
california soccer league schedule	0	2	0.0	60.5
california soccer youth league	0	3	0.0	62.7
california youth soccer	0	1	0.0	94.0
california youth soccer league	0	7	0.0	51.9
california youth soccer league santa ana	0	5	0.0	50.2
california youth soccer league schedule	0	9	0.0	56.1
can i play soccer	0	2	0.0	1.5
can i still play soccer	0	2	0.0	1.5
carstairs minor soccer	0	1	0.0	16.0
cass schedule	0	1	0.0	1.0
chico youth soccer	0	1	0.0	60.0
chico youth soccer league	0	8	0.0	45.1
chowchilla soccer	0	2	0.0	57.0
cmysl soccer	0	1	0.0	16.0
coach	0	1	0.0	1.0
coach registration	0	30	0.0	9.7
coed adult soccer leagues near me	0	1	0.0	1.0
concussion recognition tool 6	0	1	0.0	45.0
cysa clovis	0	2	0.0	32.0
cysa district 7	0	12	0.0	7.5
cysa north	0	17	0.0	70.4
cysa soccer league	0	1	0.0	93.0
cysl chico	0	1	0.0	47.0
derek bogardus	0	1	0.0	20.0
direct vs indirect penalty soccer	0	1	0.0	10.0
do u10 play offside	0	5	0.0	9.6
do u11 play offside	0	9	0.0	1.0
double chance full time (12)	0	1	0.0	1.0
dsal soccer	0	1	0.0	48.0
dunnville youth soccer	0	1	0.0	51.0
eagle mountain soccer association, youth organization	0	9	0.0	84.0
emsa soccer schedule	0	1	0.0	57.0
emys soccer	0	1	0.0	30.0
enchanted mountain soccer	0	2	0.0	15.0
enchanted mountain soccer club	0	1	0.0	11.0
fa under 12 football rules	0	1	0.0	1.0
fa under 12 football rules pdf	0	1	0.0	6.0
farmington nm soccer registration	0	1	0.0	84.0
faw u12 rules	0	1	0.0	5.0
fc milpitas	0	1	0.0	66.0
field soccer near me	0	2	0.0	3.0
fifa laws of the game field dimensions	0	2	0.0	2.0
fifa laws of the game pdf	0	1	0.0	3.0
fifa red card suspension	0	1	0.0	1.0
fifa rule book	0	1	0.0	4.0
fifa rules abandoned game	0	1	0.0	85.0
